change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
52027,1,0,0,0,0,1.0,0
52065,2,1.0,0,0,0,1.0,0
52066,2,1.0,0,0,0,1.0,0
52069,2,1.0,0,0,0,1.0,0
52070,2,1.0,0,0,0,1.0,0
52105,10,0.1,0,1.0,0,1.0,0.1
52107,10,0.1,0,1.0,0,1.0,0.1
52108,10,0.1,0,1.0,0,1.0,0.1
52109,10,0.1,0,1.0,0,1.0,0.1
52111,10,0.1,0,1.0,0,1.0,0.1
52112,10,0.1,0,1.0,0,1.0,0.1
52113,10,0.1,0,1.0,0,1.0,0.1
52114,10,0.1,0,1.0,0,1.0,0.1
52123,10,0.1,0,1.0,0,1.0,0.1
52124,10,0.1,0,1.0,0,1.0,0.1
52145,10,0,0,1.0,0,1.0,0
52149,2,1.0,0,0,1.0,0.5,0
52150,2,1.0,0,0,1.0,0.5,0
52151,2,1.0,0,0,1.0,0,0
52152,1,0,0,0,1.0,1.0,0
52153,1,0,0,0,1.0,1.0,0
52162,11,0,0,0,0,1.0,0.09090909090909091
52163,11,0,0,0,0,1.0,0.09090909090909091
52164,10,0.6,0,0.1,1.0,1.0,0.1
52165,10,0.1,0,0.1,1.0,1.0,0.1
52166,10,0.6,0,0.1,1.0,1.0,0.1
52167,10,0.1,0,0.1,1.0,1.0,0.1
52168,10,0.5,0,0.1,1.0,1.0,0.1
52169,10,0.5,0,0.1,1.0,1.0,0.1
52170,10,0.6,0,0.1,1.0,1.0,0.1
52171,10,0.1,0,0.1,1.0,1.0,0.1
52172,11,0,0,0,0,1.0,0.09090909090909091
52173,11,0,0,0,0,1.0,0.09090909090909091
52174,11,0,0,0,0,1.0,0
52176,10,0.6,0,0.1,1.0,1.0,0.1
52177,10,0.1,0,0.1,1.0,1.0,0.1
52178,11,0,0,0,0,1.0,0.09090909090909091
52179,11,0,0,0,0,1.0,0.09090909090909091
52180,11,0,0,0,0,1.0,0.09090909090909091
52181,11,0,0,0,0,1.0,0.09090909090909091
52182,11,0,0,0,0,1.0,0.09090909090909091
52183,11,0,0,0,0,1.0,0.09090909090909091
52186,11,0,0,0,0,1.0,0
52187,1,0,0,0,0,1.0,0
52188,10,0,0,0,1.0,1.0,0
52189,1,0,0,0,0,1.0,0
52194,3,1.0,0,0,0,0,0
52195,8,0.375,0,0,0.875,0,0
52196,9,0.2222222222222222,0,0,0.7777777777777778,0,0
52197,8,0.25,0,0,0.875,0.625,0
52198,8,0.25,0,0,0.875,0.625,0
52199,5,0,0,0,1.0,0.6,0
52200,8,0.125,0,0,1.0,0.75,0
52201,5,0,0,0,1.0,0.6,0
52202,7,0.14285714285714285,0,0,1.0,0.7142857142857143,0
52203,7,0,0,0,1.0,0.7142857142857143,0
52232,3,1.0,0,0,1.0,0,0
52233,3,1.0,0,0,1.0,0,0
52234,3,1.0,0,0,1.0,0,0
52235,3,0,0,0,1.0,0,0
52240,4,0.75,0,0,1.0,0,0
52241,4,0.75,0,0,1.0,0,0
52242,4,0.75,0,0,1.0,0,0
52248,4,0,1.0,0,0,0,0
52251,30,0,0,0,0,1.0,0
52252,30,0,0,0,0,1.0,0.03333333333333333
52253,30,0,0,0,0,1.0,0
52254,30,0,0,0,0,1.0,0.03333333333333333
52255,20,0,0,0.65,1.0,1.0,0
52256,20,0.3,0,0.3,1.0,1.0,0.05
52257,20,0,0,0.65,1.0,1.0,0
52258,20,0.3,0,0.3,1.0,1.0,0.05
52259,20,0,0,0.65,1.0,1.0,0
52260,20,0.3,0,0.3,1.0,1.0,0.05
52261,20,0,0,0.65,1.0,1.0,0
52262,20,0.3,0,0.3,1.0,1.0,0.05
52263,20,0,0,0.55,1.0,1.0,0
52264,20,0.3,0,0.1,1.0,1.0,0.05
52265,20,0,0,0.55,1.0,1.0,0
52266,20,0,0,0.1,1.0,1.0,0.05
52267,20,0,0,0.55,1.0,1.0,0
52268,20,0.3,0,0.1,1.0,1.0,0.05
52269,20,0,0,0.55,1.0,1.0,0
52270,20,0.05,0,0.1,1.0,1.0,0.05
52271,30,0,0,0,0,1.0,0
52272,30,0.03333333333333333,0,0,0,1.0,0.06666666666666667
52273,30,0,0,0,0,1.0,0
52274,30,0.03333333333333333,0,0,0,1.0,0.06666666666666667
52275,30,0,0,0,0,1.0,0.06666666666666667
52276,30,0,0,0,0,1.0,0.13333333333333333
52277,30,0,0,0,0,1.0,0.06666666666666667
52278,30,0,0,0,0,1.0,0.06666666666666667
52279,20,0,0,0.55,1.0,1.0,0
52280,20,0,0,0.1,1.0,1.0,0.05
52281,20,0,0,0.55,1.0,1.0,0
52282,20,0.05,0,0.1,1.0,1.0,0.05
52283,30,0,0,0,0,1.0,0
52284,30,0.03333333333333333,0,0,0,1.0,0.03333333333333333
52285,30,0,0,0,0,1.0,0
52286,30,0.03333333333333333,0,0,0,1.0,0.03333333333333333
52287,30,0,0,0,0,1.0,0
52288,30,0.03333333333333333,0,0,0,1.0,0.03333333333333333
52289,30,0,0,0,0,1.0,0
52290,30,0.03333333333333333,0,0,0,1.0,0.03333333333333333
52291,30,0,0,0,0,1.0,0
52292,30,0,0,0,0,1.0,0.03333333333333333
52293,30,0,0,0,0,1.0,0
52294,30,0,0,0,0,1.0,0.03333333333333333
52296,30,0,0,0,0,1.0,0
52297,30,0,0,0,0,1.0,0
52300,30,0,0,0,0,1.0,0
52301,30,0,0,0,0,1.0,0
52303,1,1.0,0,0,0,0,0
52304,20,0,0,0.5,1.0,1.0,0
52305,20,0.3,0,0,1.0,1.0,0
52306,30,0,0,0,0,1.0,0
52307,32,0.03125,0,0.03125,0,0.96875,0.03125
52308,4,0,1.0,0,0,0,0
52311,4,0,1.0,0,0,0,0
52314,4,0,0,0.5,1.0,0,0
52315,4,0.25,0,0,1.0,0,0
52316,4,0,0,0.5,1.0,0.5,0
52317,4,0.5,0,0,1.0,0.5,0
52318,4,0,0,0.5,1.0,0.5,0
52319,4,0.25,0,0,1.0,0.5,0
52320,2,0,0,0,1.0,0,0
52321,2,0,0,0,1.0,0,0
52322,32,0,0,0,0.0625,0.9375,0
52323,32,0,0,0,0.0625,0.9375,0
52325,1,0,0,1.0,0,1.0,1.0
52326,4,0,1.0,0,0,0,0
52335,3,0,0,0,1.0,1.0,0
52336,3,0,0,0,1.0,1.0,0
52337,3,0,0,0,1.0,1.0,0
52338,3,0,0,0,1.0,1.0,0
52339,3,0,0,0,1.0,1.0,0
52340,3,0,0,0,1.0,1.0,0
